key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
3393854982,2605,2015-03-13 17:28:19.000,,,,0,D,120,2015-03-13 17:30:19.999,3720,3400,13,,,,
0166524951,2605,2015-03-14 05:35:59.000,7.8145277,52.4567730,73.2,3,A,110,2015-03-14 05:37:49.000,3712,3400,11,0.01,214.96,0.90,9.22
3249084646,2605,2015-03-14 09:37:59.000,7.8149227,52.4572889,69.8,3,A,57,2015-03-14 09:38:56.999,3717,3414,12,2.05,3.93,6.80,27.39
2648604739,2605,2015-03-14 13:40:00.000,,,,0,D,120,,3713,3381,9,,,,
3233425985,2605,2015-03-14 17:42:00.000,7.8233360,52.4614147,153.8,3,A,56,2015-03-14 17:42:56.000,3718,3417,10,1.51,232.00,5.65,11.78
1070396536,2605,2015-03-15 05:47:58.000,7.8228096,52.4612555,92.9,3,A,88,2015-03-15 05:49:26.000,3715,3403,8,0.13,77.99,4.93,15.36
0764038825,2605,2015-03-15 09:50:00.000,,,,0,D,120,,3718,3375,11,,,,
4029566304,2605,2015-03-15 13:51:59.000,7.8242214,52.4636663,99.9,3,A,117,2015-03-15 13:53:56.000,3715,3403,13,2.61,351.27,6.56,25.60
0359831450,2605,2015-03-15 17:54:00.000,7.8233257,52.4613957,106.4,3,A,56,2015-03-15 17:54:56.001,3715,3415,12,0.45,345.37,4.62,8.96
1664741483,2605,2015-03-16 06:00:00.000,,,,0,D,120,,3710,3367,5,,,,
2080017599,2605,2015-03-16 10:01:58.000,7.8201790,52.4624202,116.3,3,A,58,2015-03-16 10:02:56.000,3724,3428,19,0.16,29.49,3.83,6.14
0159698454,2605,2015-03-16 14:03:59.000,7.8205464,52.4633611,104.2,3,A,51,2015-03-16 14:04:50.998,3735,3432,15,0.06,349.31,2.16,3.84
