key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
0801213365,3521,2015-04-09 14:49:59.000,7.8149145,52.4584104,89.5,3,A,50,2015-04-09 14:50:49.999,3745,3389,39,0.16,254.94,3.86,8.19
0470348368,3521,2015-04-12 07:21:50.000,7.8152406,52.4576416,89.7,3,A,36,2015-04-12 07:22:26.000,3701,3349,19,2.30,188.09,7.88,41.98
1457355998,3521,2015-04-12 11:24:00.000,7.8148236,52.4571545,59.9,3,A,84,2015-04-12 11:25:25.999,3696,3361,29,0.32,318.50,7.20,15.62
2482715030,3521,2015-04-12 15:26:01.000,7.8151430,52.4577239,84.0,3,A,55,2015-04-12 15:26:56.001,3730,3349,24,0.80,327.68,3.47,8.19
0110086001,3521,2015-04-15 07:57:49.000,7.8161026,52.4590551,94.6,3,A,55,2015-04-15 07:58:44.000,3735,3344,34,0.64,47.19,3.95,4.61
2584891172,3521,2015-04-15 11:59:59.000,,,,0,D,120,2015-04-15 12:01:59.999,3745,3424,48,,,,
0272748084,3521,2015-04-15 16:02:01.000,7.8131886,52.4594015,101.1,3,A,60,2015-04-15 16:03:02.000,3736,3388,31,0.28,350.62,3.59,4.10
3009699150,3521,2015-04-18 04:31:49.000,7.8143880,52.4570544,110.0,3,A,36,2015-04-18 04:32:25.999,3686,3331,17,0.29,19.66,4.03,7.42
0917333525,3521,2015-04-18 08:34:01.000,7.8141864,52.4568796,92.8,3,A,72,2015-04-18 08:35:14.000,3728,3375,29,0.47,325.06,2.99,6.14
0810971854,3521,2015-04-18 12:36:00.000,7.8152690,52.4575466,88.6,3,A,111,2015-04-18 12:37:51.001,3723,3344,24,0.12,209.06,1.14,6.91
2128939086,3521,2015-04-18 16:37:59.000,7.8167915,52.4570958,102.1,3,A,51,2015-04-18 16:38:50.998,3735,3312,31,0.11,33.42,3.30,5.89
1263033282,3521,2015-04-21 05:07:51.000,7.8150424,52.4567223,104.2,3,A,53,2015-04-21 05:08:44.000,3679,3282,15,0.05,349.31,3.00,4.61
2204256601,3521,2015-04-21 09:10:00.000,7.8173740,52.4576943,99.9,3,A,50,2015-04-21 09:10:50.001,3735,3352,26,0.12,321.13,3.61,14.08
0758642134,3521,2015-04-21 13:12:00.000,7.8120610,52.4569174,84.3,3,A,55,2015-04-21 13:12:56.001,3745,3419,40,0.03,357.83,0.49,4.61
1775285603,3521,2015-04-21 17:13:59.000,7.8149222,52.4567320,85.9,3,A,61,2015-04-21 17:15:01.999,3720,3345,21,0.15,22.94,4.19,6.14
3932985396,3521,2015-04-24 05:43:51.000,7.8155106,52.4566093,91.7,3,A,64,2015-04-24 05:44:56.001,3707,3322,21,0.18,351.27,3.84,6.14
2628589269,3521,2015-04-24 09:46:00.000,,,,0,D,120,2015-04-24 09:48:00.000,3740,3364,32,,,,
1135915571,3521,2015-04-24 13:48:00.000,,,,0,D,120,2015-04-24 13:50:00.000,3742,3398,37,,,,
0603985044,3521,2015-04-24 17:50:00.000,,,,0,D,120,,3725,3325,22,,,,
2265956033,3521,2015-04-27 06:19:50.000,7.8153070,52.4569001,100.6,3,A,114,2015-04-27 06:21:44.000,3671,3179,10,0.09,356.52,2.41,4.61
2436093582,3521,2015-04-27 10:21:59.000,7.8173267,52.4568628,93.4,3,A,84,2015-04-27 10:23:24.999,3718,3312,19,0.02,304.09,0.82,10.24
1845092302,3521,2015-04-27 14:24:00.000,7.8180842,52.4592686,98.6,3,A,80,2015-04-27 14:25:21.998,3730,3352,26,0.46,61.60,2.86,7.68
1873804278,3521,2015-04-27 18:26:00.000,7.8157501,52.4569383,104.0,3,A,79,2015-04-27 18:27:20.999,3706,3266,13,0.08,325.71,3.33,6.14
3689722966,3521,2015-04-30 06:55:51.000,7.8175845,52.4577182,101.7,3,A,66,2015-04-30 06:56:57.001,3706,3312,20,0.40,328.34,2.86,5.12
0483137228,3521,2015-04-30 10:58:00.000,7.8195948,52.4587767,99.8,3,A,86,2015-04-30 10:59:26.998,3735,3342,25,0.30,8.52,3.88,8.19
2066651427,3521,2015-04-30 14:59:59.000,7.8200713,52.4584321,90.4,3,A,57,2015-04-30 15:00:56.998,3732,3349,26,0.08,10.49,3.15,5.63
0371323555,3521,2015-05-03 07:31:49.000,7.8163728,52.4590007,103.1,3,A,35,2015-05-03 07:32:25.999,3721,3322,23,0.14,20.32,2.85,3.84
1281373667,3521,2015-05-03 11:34:01.000,7.8178362,52.4592454,110.6,3,A,55,2015-05-03 11:34:56.998,3699,3374,31,1.01,33.42,7.83,27.39
3179424119,3521,2015-05-03 15:36:01.000,7.8138270,52.4585601,98.4,3,A,72,2015-05-03 15:37:14.001,3720,3320,22,0.26,59.64,3.63,6.91
1175970387,3521,2015-05-06 04:06:00.000,,,,0,D,120,,3713,3305,21,,,,
1887310672,3521,2015-05-06 08:07:48.000,7.8133225,52.4586247,91.5,3,A,109,2015-05-06 08:09:37.999,3720,3298,16,0.15,12.45,3.85,8.96
2254270826,3521,2015-05-06 12:10:00.000,7.8129216,52.4585721,90.0,3,A,73,2015-05-06 12:11:14.998,3725,3331,22,0.62,138.94,6.95,15.36
3897106299,3521,2015-05-06 16:12:00.000,7.8203560,52.4582916,68.2,3,A,79,2015-05-06 16:13:20.999,3720,3303,18,0.17,346.69,5.18,11.26
3257840343,3521,2015-05-09 04:41:50.000,7.8140789,52.4584961,131.1,3,A,58,2015-05-09 04:42:49.998,3724,3337,24,0.75,20.97,5.34,12.54
4086505870,3521,2015-05-09 08:44:00.000,7.8136762,52.4598497,112.0,3,A,71,2015-05-09 08:45:12.998,3726,3334,21,0.38,276.56,3.42,5.38
2544275578,3521,2015-05-09 12:46:00.000,7.8179726,52.4594763,83.5,3,A,54,2015-05-09 12:46:55.999,3732,3349,26,0.96,19.66,6.48,12.54
0171163975,3521,2015-05-09 16:48:01.000,7.8131080,52.4582726,62.6,3,A,79,2015-05-09 16:49:20.998,3732,3344,29,0.77,226.10,10.54,57.86
3066620221,3521,2015-05-12 05:17:50.000,7.8123754,52.4584139,107.1,3,A,97,2015-05-12 05:19:27.000,3726,3344,26,0.62,349.31,5.20,15.10
4163909429,3521,2015-05-12 09:20:00.000,7.8139844,52.4585863,120.3,3,A,84,2015-05-12 09:21:25.001,3742,3409,39,0.37,15.73,1.93,11.52
3796678588,3521,2015-05-12 13:22:00.000,,,,0,D,120,,3737,3355,29,,,,
1228089601,3521,2015-05-12 17:23:59.000,7.8138932,52.4584073,133.2,3,A,62,2015-05-12 17:25:02.001,3726,3337,23,0.11,342.75,1.53,4.35
4199550932,3521,2015-05-15 05:53:50.000,7.8135701,52.4585960,105.4,3,A,66,2015-05-15 05:54:57.000,3713,3299,23,0.07,342.75,3.24,4.61
1369756559,3521,2015-05-15 09:56:00.000,7.8136770,52.4586105,119.5,3,A,55,2015-05-15 09:56:56.000,3724,3334,23,0.41,54.39,5.11,8.70
3996174236,3521,2015-05-15 13:58:00.000,,,,0,D,120,,3737,3364,30,,,,
4261344338,3521,2015-05-15 18:00:00.000,,,,0,D,120,,3720,3278,19,,,,
2663715166,3521,2015-05-18 06:29:49.000,7.8132120,52.4585748,101.6,3,A,66,2015-05-18 06:30:56.001,3720,3326,22,0.68,37.36,3.68,7.94
0793224736,3521,2015-05-18 10:32:00.000,7.8214651,52.4599260,100.9,3,A,111,2015-05-18 10:33:51.001,3725,3310,22,0.51,30.15,3.91,6.91
1025657408,3521,2015-05-18 14:33:59.000,7.8139847,52.4583109,104.7,3,A,75,2015-05-18 14:35:14.999,3726,3339,26,0.34,357.17,4.46,6.66
3560159087,3521,2015-05-21 07:05:49.000,7.8150832,52.4575426,107.5,3,A,81,2015-05-21 07:07:10.998,3718,3333,24,0.76,166.46,7.02,16.64
3390366910,3521,2015-05-21 11:08:00.000,7.8205425,52.4599055,103.7,3,A,56,2015-05-21 11:08:56.999,3702,3374,31,0.21,312.61,4.55,9.47
3352080283,3521,2015-05-21 15:10:01.000,7.8151768,52.4581400,81.3,3,A,49,2015-05-21 15:10:50.001,3726,3347,24,0.73,55.05,5.43,12.03
2576534573,3521,2015-05-24 07:41:48.000,7.8205541,52.4596876,92.8,3,A,84,2015-05-24 07:43:13.999,3728,3354,29,0.52,332.27,6.05,8.19
0789646632,3521,2015-05-24 11:44:01.000,7.8204068,52.4594407,135.1,3,A,55,2015-05-24 11:44:56.999,3703,3381,33,1.20,213.65,6.12,22.02
3066884908,3521,2015-05-24 15:46:01.000,7.8207127,52.4589102,103.0,3,A,43,2015-05-24 15:46:44.001,3742,3399,36,0.30,28.18,2.77,4.10
2418674912,3521,2015-05-27 04:15:49.000,7.8206491,52.4599382,103.4,3,A,60,2015-05-27 04:16:49.998,3730,3356,27,0.32,313.92,4.12,7.42
3389286082,3521,2015-05-27 08:18:01.000,7.8165700,52.4593590,106.0,3,A,80,2015-05-27 08:19:21.000,3725,3305,22,0.17,5.24,5.39,6.14
2383306416,3521,2015-05-27 12:19:59.000,7.8206287,52.4601505,125.1,3,A,55,2015-05-27 12:20:55.999,3735,3358,29,0.04,9.18,8.23,18.69
0493199326,3521,2015-05-27 16:22:00.000,7.8206875,52.4598768,98.9,3,A,78,2015-05-27 16:23:19.999,3732,3361,26,0.39,28.18,8.95,12.54
0375836687,3521,2015-05-29 16:11:52.000,7.8142311,52.4588381,83.9,3,A,65,2015-05-29 16:12:57.999,3691,3292,22,1.93,357.83,7.84,26.62
3707239161,3521,2015-05-29 16:11:52.000,7.8142080,52.4588696,88.7,3,A,66,2015-05-29 16:12:58.999,3691,3293,22,1.58,345.37,17.60,46.34
0348195386,3521,2015-05-29 16:11:52.000,7.8142168,52.4588892,90.6,3,A,66,2015-05-29 16:12:59.999,3691,3303,22,2.02,347.34,8.67,52.74
1478181212,3521,2015-05-29 16:11:52.000,7.8142896,52.4588735,80.7,3,A,67,2015-05-29 16:13:00.999,3691,3332,22,2.02,347.34,9.82,57.86
3919089327,3521,2015-05-29 16:11:52.000,7.8143055,52.4589224,84.2,3,A,68,2015-05-29 16:13:01.999,3691,3328,22,2.21,349.31,8.62,39.17
1505971666,3521,2015-05-29 16:11:52.000,7.8143019,52.4589343,85.7,3,A,69,2015-05-29 16:13:02.999,3691,3330,22,1.67,351.27,5.70,26.62
2277894499,3521,2015-05-29 16:11:52.000,7.8142387,52.4589026,90.7,3,A,70,2015-05-29 16:13:03.999,3691,3331,22,1.19,297.53,8.44,26.37
3007716510,3521,2015-05-29 16:11:52.000,7.8142133,52.4589162,94.5,3,A,71,2015-05-29 16:13:04.999,3691,3330,22,1.83,358.48,6.40,25.34
3313600488,3521,2015-05-29 16:11:52.000,7.8141991,52.4589226,97.0,3,A,72,2015-05-29 16:13:05.999,3691,3330,22,1.92,2.62,4.44,25.34
0784662970,3521,2015-05-29 16:11:52.000,7.8141230,52.4588412,99.0,3,A,74,2015-05-29 16:13:06.999,3691,3302,22,1.49,335.54,5.85,24.32
3265258543,3521,2015-05-29 16:11:52.000,,,,0,B,74,2015-05-29 16:13:07.999,3691,3330,22,,,,
2158029384,3521,2015-05-29 16:11:52.000,7.8141060,52.4588654,103.3,3,A,76,2015-05-29 16:13:08.999,3691,3331,22,1.90,358.48,4.18,25.60
1498455618,3521,2015-05-29 16:11:52.000,7.8141114,52.4588954,105.7,3,A,76,2015-05-29 16:13:09.999,3691,3327,22,2.00,357.17,3.91,26.62
2324836498,3521,2015-05-29 16:11:52.000,7.8141187,52.4589169,107.4,3,A,78,2015-05-29 16:13:10.999,3691,3300,22,2.28,357.17,4.02,27.90
0580316932,3521,2015-05-29 16:11:52.000,7.8141192,52.4589392,108.8,3,A,78,2015-05-29 16:13:11.999,3691,3327,22,2.39,355.86,4.08,29.18
0357356168,3521,2015-05-29 16:11:52.000,7.8141317,52.4588773,104.0,3,A,80,2015-05-29 16:13:12.999,3691,3320,22,1.56,1.31,3.22,6.40
3586697716,3521,2015-05-29 16:11:52.000,7.8141449,52.4588864,105.6,3,A,81,2015-05-29 16:13:13.999,3691,3305,22,1.42,31.46,4.99,5.63
3986629600,3521,2015-05-29 16:11:52.000,7.8141579,52.4589015,107.4,3,A,82,2015-05-29 16:13:14.999,3691,3297,22,1.25,30.15,3.59,5.38
3717394546,3521,2015-05-29 16:11:52.000,7.8141535,52.4589008,107.6,3,A,83,2015-05-29 16:13:15.999,3691,3294,22,0.05,30.15,0.70,4.86
0550006460,3521,2015-05-29 16:11:52.000,7.8141537,52.4589013,107.3,3,A,84,2015-05-29 16:13:16.999,3691,3303,22,0.21,28.18,2.68,5.12
0337110442,3521,2015-05-29 16:11:52.000,7.8141480,52.4589031,106.6,3,A,85,2015-05-29 16:13:17.999,3691,3294,22,0.06,27.53,0.99,4.86
1352687414,3521,2015-05-29 16:11:52.000,7.8141430,52.4589059,106.3,3,A,86,2015-05-29 16:13:18.999,3691,3304,22,0.29,22.94,2.42,4.61
1731050020,3521,2015-05-29 16:11:52.000,7.8141359,52.4589104,106.5,3,A,87,2015-05-29 16:13:19.999,3691,3297,22,0.37,20.32,2.19,4.61
1351860196,3521,2015-05-29 16:11:52.000,7.8141176,52.4589193,108.0,3,A,88,2015-05-29 16:13:20.999,3691,3291,22,0.12,18.35,1.51,4.61
0579959432,3521,2015-05-29 16:11:52.000,7.8141181,52.4589187,108.0,3,A,89,2015-05-29 16:13:21.999,3691,3293,22,0.00,18.35,0.61,4.35
3610058798,3521,2015-05-29 16:11:52.000,7.8141147,52.4589194,108.2,3,A,90,2015-05-29 16:13:22.999,3691,3293,22,0.11,21.63,0.78,4.10
2010516539,3521,2015-05-29 16:11:52.000,7.8140936,52.4589228,109.4,3,A,91,2015-05-29 16:13:23.999,3691,3310,22,0.09,17.69,0.84,4.35
3686832042,3521,2015-05-29 16:11:52.000,7.8140838,52.4589223,109.4,3,A,92,2015-05-29 16:13:24.999,3691,3297,22,0.17,24.90,3.49,4.61
2024557509,3521,2015-05-29 16:11:52.000,7.8140862,52.4589237,109.0,3,A,93,2015-05-29 16:13:25.999,3691,3293,22,0.12,26.87,3.94,5.12
2223187938,3521,2015-05-29 16:11:52.000,7.8140884,52.4589279,108.9,3,A,94,2015-05-29 16:13:26.999,3691,3297,22,0.02,21.63,1.15,5.38
4029828293,3521,2015-05-29 16:11:52.000,7.8140816,52.4589305,108.4,3,A,95,2015-05-29 16:13:27.999,3691,3293,22,0.06,19.66,2.24,4.86
2885128905,3521,2015-05-29 16:11:52.000,7.8140797,52.4589321,108.0,3,A,96,2015-05-29 16:13:28.999,3691,3291,22,0.06,23.59,1.77,4.86
3802210816,3521,2015-05-29 16:11:52.000,7.8140747,52.4589323,107.4,3,A,97,2015-05-29 16:13:29.999,3691,3291,22,0.06,20.97,2.45,4.61
1353780742,3521,2015-05-29 16:11:52.000,7.8140802,52.4589328,107.7,3,A,98,2015-05-29 16:13:30.999,3691,3323,22,0.02,19.01,0.54,4.35
0866087017,3521,2015-05-29 16:11:52.000,7.8140881,52.4589340,107.3,3,A,99,2015-05-29 16:13:31.999,3691,3291,22,0.02,19.66,0.46,4.35
2943878206,3521,2015-05-29 16:11:52.000,7.8140957,52.4589347,107.1,3,A,100,2015-05-29 16:13:32.999,3691,3298,22,0.06,19.66,0.74,4.10
3987632881,3521,2015-05-29 16:11:52.000,7.8140994,52.4589355,106.9,3,A,101,2015-05-29 16:13:33.999,3691,3323,22,0.03,20.32,0.45,4.10
4009134251,3521,2015-05-29 16:11:52.000,7.8141110,52.4589365,105.6,3,A,102,2015-05-29 16:13:34.999,3691,3310,22,0.01,20.32,0.37,4.10
