key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
0565755349,2799,2015-03-14 13:40:00.000,,,,0,D,120,,3640,3085,-1,,,,
3567746369,2799,2015-03-14 17:42:00.000,,,,0,D,120,,3652,3149,5,,,,
3541774238,2799,2015-03-16 06:00:00.000,,,,0,D,120,,3636,3041,1,,,,
3863958281,2799,2015-03-16 09:59:54.000,7.8114059,52.4531432,98.6,3,A,91,2015-03-16 10:01:25.999,3688,3249,15,0.06,89.13,0.38,2.56
2785581489,2799,2015-03-16 10:02:02.000,7.8112741,52.4531320,115.6,3,A,9,2015-03-16 10:02:11.000,3613,3303,15,0.14,346.03,7.78,9.98
4000306238,2799,2015-03-16 14:03:59.000,7.8130097,52.4547623,120.6,3,A,57,2015-03-16 14:04:56.998,3681,3281,10,0.41,33.42,2.57,5.12
0671273489,2799,2015-03-16 18:06:01.000,7.8149309,52.4526282,89.5,3,A,56,2015-03-16 18:06:57.000,3681,3273,8,0.21,326.37,3.42,3.33
2277500853,2799,2015-03-18 06:23:53.000,7.8153837,52.4526756,68.8,3,A,116,2015-03-18 06:25:49.998,3647,3116,2,0.45,342.75,3.54,6.91
0862361349,2799,2015-03-18 10:26:01.000,7.8153901,52.4527539,74.7,3,A,55,2015-03-18 10:26:56.001,3696,3312,16,0.66,0.00,6.04,11.01
2130851636,2799,2015-03-18 14:27:59.000,7.8154064,52.4525667,102.2,3,A,56,2015-03-18 14:28:55.999,3708,3322,18,0.26,218.23,4.95,14.34
2806821591,2799,2015-03-18 18:30:01.000,7.8149759,52.4526980,83.9,3,A,55,2015-03-18 18:30:56.001,3693,3298,11,0.39,309.99,4.00,5.63
3607692374,2799,2015-03-20 06:47:54.000,7.8155413,52.4526986,111.4,3,A,63,2015-03-20 06:48:57.001,3647,3215,0,0.15,15.07,4.34,15.10
3117784440,2799,2015-03-20 10:50:00.000,,,,0,D,120,,3654,3103,5,,,,
0647525279,2799,2015-03-20 14:51:59.000,7.8151645,52.4528220,93.7,3,A,57,2015-03-20 14:52:56.001,3696,3262,13,0.13,335.54,4.42,12.54
3566696898,2799,2015-03-22 07:11:53.000,7.8131485,52.4535606,93.4,3,A,87,2015-03-22 07:13:20.000,3652,3105,-3,0.06,5.90,2.18,3.58
0668987865,2799,2015-03-22 11:14:00.000,7.8150964,52.4521131,87.5,3,A,55,2015-03-22 11:14:55.999,3638,3244,6,0.52,3.93,8.38,28.93
1912628200,2799,2015-03-22 15:16:00.000,7.8139945,52.4516280,116.8,3,A,49,2015-03-22 15:16:49.998,3701,3291,9,0.45,69.47,3.86,7.94
3509055703,2799,2015-03-24 07:35:54.000,7.8154542,52.4524622,132.0,3,A,56,2015-03-24 07:36:50.000,3686,3295,14,0.92,357.17,4.89,8.45
2856684024,2799,2015-03-24 11:37:59.000,7.8151578,52.4525655,107.2,3,A,57,2015-03-24 11:38:56.998,3666,3325,19,0.04,38.01,2.83,6.66
2668942450,2799,2015-03-24 15:40:01.000,7.8150971,52.4525765,100.3,3,A,43,2015-03-24 15:40:44.001,3707,3323,15,0.11,352.58,5.44,19.71
2655524845,2799,2015-03-26 07:59:53.000,7.8154250,52.4527327,116.2,3,A,63,2015-03-26 08:00:56.000,3681,3273,7,0.72,347.34,5.16,11.52
3429366457,2799,2015-03-26 12:02:00.000,7.8130947,52.4534897,103.4,3,A,50,2015-03-26 12:02:50.001,3693,3310,13,0.14,344.72,3.45,7.42
0430724991,2799,2015-03-26 16:03:59.000,7.8156212,52.4529942,95.4,3,A,81,2015-03-26 16:05:20.998,3681,3176,2,0.35,17.04,3.87,7.68
1679268165,2799,2015-03-28 04:21:54.000,7.8150893,52.4528844,84.8,3,A,79,2015-03-28 04:23:13.999,3697,3261,15,1.47,11.14,4.32,10.24
0785098881,2799,2015-03-28 08:24:01.000,7.8156570,52.4528500,77.3,3,A,85,2015-03-28 08:25:26.001,3701,3272,12,0.37,34.73,8.12,29.44
1259946369,2799,2015-03-28 12:26:00.000,,,,0,D,120,,3708,3276,16,,,,
2734788503,2799,2015-03-28 16:28:00.000,,,,0,D,120,,3693,3197,9,,,,
1911780626,2799,2015-03-31 04:57:48.000,7.8148362,52.4525142,117.2,3,A,97,2015-03-31 04:59:25.000,3664,3046,-2,0.01,320.47,1.86,10.24
0395373299,2799,2015-03-31 09:00:00.000,7.8131347,52.4535638,96.6,3,A,50,2015-03-31 09:00:50.000,3676,3214,-1,0.61,330.30,2.42,3.33
3073285086,2799,2015-03-31 13:02:00.000,7.8153942,52.4525613,112.9,3,A,105,2015-03-31 13:03:45.000,3674,3067,-1,0.39,123.21,5.53,15.62
3608260119,2799,2015-03-31 17:03:59.000,7.8157023,52.4525911,118.5,3,A,74,2015-03-31 17:05:13.998,3682,3131,1,0.65,169.74,5.80,11.78
1971936411,2799,2015-04-03 05:33:50.000,7.8139266,52.4537003,105.0,3,A,84,2015-04-03 05:35:14.998,3681,3183,3,6.33,254.28,5.84,14.08
0053939223,2799,2015-04-03 09:36:00.000,7.8104406,52.4529879,119.4,3,A,49,2015-04-03 09:36:49.999,3701,3302,10,0.57,353.24,4.26,6.91
0087685964,2799,2015-04-03 13:38:01.000,7.8111297,52.4530806,102.4,3,A,56,2015-04-03 13:38:57.001,3710,3298,12,0.55,359.79,6.43,15.62
1094890436,2799,2015-04-03 17:40:00.000,7.8111898,52.4585999,107.1,3,A,81,2015-04-03 17:41:21.001,3696,3222,7,0.73,17.04,5.00,5.63
1169588347,2799,2015-04-06 06:09:48.000,7.8093350,52.4602586,87.1,3,A,38,2015-04-06 06:10:26.999,3696,3315,11,0.21,351.27,4.43,10.24
0774467094,2799,2015-04-06 10:12:01.000,7.8092196,52.4603151,102.9,3,A,115,2015-04-06 10:13:56.001,3706,3281,13,0.24,9.18,4.56,6.91
1340128833,2799,2015-04-06 14:14:00.000,7.8089974,52.4600346,25.8,3,A,86,2015-04-06 14:15:26.001,3707,3278,13,1.19,148.11,5.97,13.31
2085716728,2799,2015-04-06 18:15:59.000,7.8100893,52.4582439,183.4,3,A,57,2015-04-06 18:16:56.998,3701,3281,8,0.26,171.05,8.28,50.69
2985391519,2799,2015-04-09 06:45:50.000,7.8094869,52.4602239,73.1,3,A,67,2015-04-09 06:46:57.000,3688,3272,9,0.85,117.96,4.57,12.03
3072597759,2799,2015-04-09 10:48:00.000,,,,0,D,120,,3718,3310,18,,,,
2941345094,2799,2015-04-09 14:49:59.000,7.8092590,52.4602736,114.4,3,A,57,2015-04-09 14:50:56.001,3720,3342,21,0.30,112.72,5.19,13.31
1925111213,2799,2015-04-12 07:21:47.000,7.8088950,52.4601649,113.9,3,A,68,2015-04-12 07:22:55.999,3679,3256,7,0.49,20.32,6.13,15.10
0002567828,2799,2015-04-12 11:24:01.000,7.8090209,52.4603254,106.8,3,A,84,2015-04-12 11:25:25.998,3654,3271,10,0.14,346.03,3.44,7.94
2631017692,2799,2015-04-12 15:26:01.000,7.8078894,52.4610565,110.2,3,A,49,2015-04-12 15:26:50.001,3710,3320,13,0.22,69.47,4.30,7.17
3732885397,2799,2015-04-15 07:57:48.000,7.8131151,52.4591784,101.9,3,A,56,2015-04-15 07:58:44.000,3720,3359,22,0.24,25.56,4.16,9.98
2055214624,2799,2015-04-15 12:00:00.000,,,,0,D,120,,3715,3325,22,,,,
3258274788,2799,2015-04-15 16:01:59.000,7.8082295,52.4603761,103.8,3,A,58,2015-04-15 16:02:57.001,3725,3359,25,0.15,26.21,3.06,4.10
0370980842,2799,2015-04-18 04:31:48.000,7.8097607,52.4599116,102.2,3,A,68,2015-04-18 04:32:56.998,3684,3281,9,0.46,91.75,6.12,16.13
1693675190,2799,2015-04-18 08:34:01.000,7.8066119,52.4602774,145.8,3,A,86,2015-04-18 08:35:27.000,3703,3267,8,0.18,353.24,5.09,8.45
